Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Bulgaria,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Bulgaria,ANTISEL Selidis Bros s.a.
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Bulgaria,Gen-Probe Belgium BVBA
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Bulgaria,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Canada,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Canada,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Canada,Inter Medico
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Canada,Inter Medico
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Chile,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Chile,Bios Ingenieria Gentica SA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Chile,"Gen-Probe GTI Diagnostics, Inc."
